phone,axes,first_with,with_without,first_without
f,Angular - Round,7.877e-05,0.0004147,++0.03431
f,Bad - Good,++0.3368,++0.4969,++0.2605
f,Cold - Hot,++0.1391,++0.3023,++0.03358
f,Complex - Simple,++0.00514,0.0002389,++0.4206
f,Cowardly - Brave,++0.008997,++0.4333,0.000488
f,Dangerous - Secure,++0.2925,9.212e-05,++0.003557
f,Dark - Luminous,++0.2119,++0.2498,++0.3256
f,Difficult - Easy,++0.08853,++0.1014,++0.2644
f,Evil - Benign,++0.4972,++0.06014,++0.07351
f,Faded - Bright,6.402e-10,5.543e-05,1.5e-06
f,Feeble - Strong,5.079e-05,++0.0199,0.0003991
f,Masculine - Feminine,++0.01589,++0.3028,0.0004981
f,Passive - Active,1.001e-06,++0.003165,0.000165
f,Quiet - Loud,++0.09927,++0.2341,++0.1366
f,Rough - Tender,++0.0377,++0.1649,0.0005551
f,Sad - Joyful,++0.1729,++0.4165,++0.06179
f,Short - Long,1.258e-09,7.197e-14,++0.1752
f,Slow - Quick,++0.005993,9.976e-09,++0.03793
f,Small - Big,++0.03516,++0.002122,++0.4473
f,Smooth - Rough_or_not_smooth,1.044e-06,0.00085,0.0001908
f,Ugly - Beautiful,++0.03014,++0.1249,0.0001342
d,Angular - Round,++0.003086,++0.3113,0.0004329
d,Bad - Good,3.358e-12,9.569e-05,8.656e-24
d,Cold - Hot,++0.1381,4.575e-05,0.0001708
d,Complex - Simple,0.0003477,8.089e-63,9.965e-12
d,Cowardly - Brave,0.0004567,++0.007498,1.222e-07
d,Dangerous - Secure,7.273e-18,1.69e-09,1.408e-09
d,Dark - Luminous,1.268e-13,++0.01611,1.06e-12
d,Difficult - Easy,++0.1671,1.814e-07,1.435e-05
d,Evil - Benign,6.113e-15,++0.3436,8.023e-19
d,Faded - Bright,3.875e-07,1.488e-08,8.561e-19
d,Feeble - Strong,++0.002409,4.514e-29,3.374e-23
d,Masculine - Feminine,++0.2982,1.322e-07,++0.003675
d,Passive - Active,++0.4496,++0.1469,++0.2968
d,Quiet - Loud,++0.06768,0.0005546,++0.3475
d,Rough - Tender,++0.02463,++0.3191,++0.00749
d,Sad - Joyful,6.71e-24,0.0001398,1.477e-19
d,Short - Long,++0.4755,1.276e-30,4.197e-13
d,Slow - Quick,++0.2125,1.247e-07,++0.009214
d,Small - Big,++0.003984,1.481e-12,++0.07697
d,Smooth - Rough_or_not_smooth,1.764e-07,1.383e-07,2.438e-18
d,Ugly - Beautiful,4.031e-07,++0.0369,4.771e-11
v,Angular - Round,++0.006952,1.344e-10,++0.4143
v,Bad - Good,++0.07262,3.26e-17,++0.004671
v,Cold - Hot,++0.3223,++0.3979,++0.2772
v,Complex - Simple,++0.1873,0.0004851,++0.002185
v,Cowardly - Brave,++0.007063,6.195e-10,++0.3812
v,Dangerous - Secure,1.068e-05,5.354e-09,++0.03971
v,Dark - Luminous,++0.3229,++0.03684,++0.3348
v,Difficult - Easy,2.015e-08,2.661e-05,1.94e-05
v,Evil - Benign,++0.003873,++0.2528,0.0004409
v,Faded - Bright,++0.003035,++0.04941,++0.01481
v,Feeble - Strong,++0.3642,++0.2403,++0.4931
v,Masculine - Feminine,++0.2565,++0.2637,++0.1414
v,Passive - Active,4.349e-08,3.975e-06,9.302e-05
v,Quiet - Loud,++0.00518,3.188e-06,++0.3043
v,Rough - Tender,++0.1373,++0.3184,++0.1682
v,Sad - Joyful,++0.001597,1.262e-08,++0.316
v,Short - Long,3.874e-13,7.836e-25,++0.004307
v,Slow - Quick,3.456e-13,7.783e-31,++0.0112
v,Small - Big,1.055e-05,7.414e-19,++0.3669
v,Smooth - Rough_or_not_smooth,++0.08882,++0.1495,++0.1588
v,Ugly - Beautiful,5.913e-05,3.604e-10,++0.1049
k,Angular - Round,++0.2867,3.327e-06,++0.004442
k,Bad - Good,1.488e-07,++0.0613,1.141e-06
k,Cold - Hot,++0.02106,9.451e-05,++0.3209
k,Complex - Simple,1.299e-06,++0.2848,2.978e-07
k,Cowardly - Brave,++0.05724,++0.4861,++0.03368
k,Dangerous - Secure,5.602e-13,++0.08379,1.223e-13
k,Dark - Luminous,9.271e-05,2.242e-05,5.412e-14
k,Difficult - Easy,++0.4476,4.185e-05,++0.001078
k,Evil - Benign,1.407e-10,++0.351,1.182e-12
k,Faded - Bright,++0.35,++0.03207,++0.1782
k,Feeble - Strong,4.071e-10,++0.06726,2.816e-17
k,Masculine - Feminine,1.948e-05,++0.4602,1.563e-06
k,Passive - Active,++0.2804,++0.1528,++0.07628
k,Quiet - Loud,++0.2897,++0.33,++0.3776
k,Rough - Tender,++0.1303,9.699e-11,6.89e-10
k,Sad - Joyful,5.858e-05,1.065e-07,++0.3321
k,Short - Long,++0.08435,0.0002208,1.372e-05
k,Slow - Quick,1.501e-05,++0.2596,6.374e-06
k,Small - Big,0.0001038,1.078e-09,++0.4103
k,Smooth - Rough_or_not_smooth,0.000546,1.261e-07,++0.4708
k,Ugly - Beautiful,++0.2307,1.654e-05,++0.008665
θ,Angular - Round,++0.01929,++0.0105,++0.1845
θ,Bad - Good,++0.01981,0.0004456,++0.4195
θ,Cold - Hot,++0.173,++0.02716,++0.4686
θ,Complex - Simple,++0.1038,++0.001291,++0.2542
θ,Cowardly - Brave,0.0007405,6.408e-09,++0.4741
θ,Dangerous - Secure,++0.08578,++0.1577,++0.155
θ,Dark - Luminous,++0.3559,++0.1956,++0.4818
θ,Difficult - Easy,++0.001875,++0.01138,++0.04365
θ,Evil - Benign,++0.03056,0.0002581,++0.497
θ,Faded - Bright,++0.2918,++0.0906,++0.05506
θ,Feeble - Strong,++0.3748,++0.0113,++0.1032
θ,Masculine - Feminine,++0.1293,++0.3546,++0.03575
θ,Passive - Active,0.000124,1.115e-05,++0.06836
θ,Quiet - Loud,++0.2348,++0.01793,++0.01033
