phone,axes,first_with,with_without,first_without
æ,Angular - Round,++0.4901,++0.001879,++0.1374
æ,Bad - Good,++0.09601,1.292e-06,0.0007003
æ,Cold - Hot,++0.144,3.266e-07,++0.1843
æ,Complex - Simple,++0.4676,2.071e-12,++0.003548
æ,Cowardly - Brave,++0.03161,0.0001045,0.0003648
æ,Dangerous - Secure,++0.3918,1.347e-08,++0.02864
æ,Dark - Luminous,0.0008802,++0.2726,0.0003101
æ,Difficult - Easy,++0.447,1.301e-12,++0.005505
æ,Evil - Benign,++0.1461,2.084e-12,++0.05065
æ,Faded - Bright,++0.01058,++0.01124,0.0009616
æ,Feeble - Strong,++0.01664,6.783e-10,++0.4547
æ,Masculine - Feminine,++0.001628,0.0001583,++0.06457
æ,Passive - Active,++0.297,2.101e-06,++0.009181
æ,Quiet - Loud,++0.0765,++0.05666,++0.2023
æ,Rough - Tender,++0.05433,++0.4086,++0.06036
æ,Sad - Joyful,++0.2207,7.717e-10,++0.0516
æ,Short - Long,++0.2007,++0.002742,++0.3977
æ,Slow - Quick,++0.02773,1.426e-14,++0.1837
æ,Small - Big,++0.07342,++0.01268,++0.009957
æ,Smooth - Rough_or_not_smooth,++0.1885,1.681e-06,++0.003296
æ,Ugly - Beautiful,++0.1398,1.938e-07,++0.2056
ɒː,Angular - Round,++0.05963,0.00014,++0.4666
ɒː,Bad - Good,++0.03223,3.733e-07,++0.4574
ɒː,Cold - Hot,++0.1369,1.108e-05,++0.3039
ɒː,Complex - Simple,++0.3727,++0.03719,++0.3625
ɒː,Cowardly - Brave,++0.351,++0.1311,++0.4874
ɒː,Dangerous - Secure,++0.2995,0.0003057,++0.2117
ɒː,Dark - Luminous,++0.007709,++0.017,0.0005038
ɒː,Difficult - Easy,++0.4816,++0.001782,++0.1468
ɒː,Evil - Benign,++0.03343,++0.2124,++0.01687
ɒː,Faded - Bright,++0.2155,++0.1073,++0.3836
ɒː,Feeble - Strong,++0.002839,2.354e-05,6.365e-06
ɒː,Masculine - Feminine,++0.007328,9.616e-09,++0.4248
ɒː,Passive - Active,++0.2332,0.0007311,++0.325
ɒː,Quiet - Loud,++0.2033,++0.127,++0.3615
ɒː,Rough - Tender,++0.03598,++0.08654,++0.1163
ɒː,Sad - Joyful,++0.4133,++0.1634,++0.2853
ɒː,Short - Long,++0.007834,9.635e-07,++0.2846
ɒː,Slow - Quick,0.0002705,++0.4333,0.0004108
ɒː,Small - Big,++0.4191,1.008e-19,0.0002016
ɒː,Smooth - Rough_or_not_smooth,++0.03251,1.97e-09,++0.3521
ɒː,Ugly - Beautiful,++0.4078,7.426e-12,++0.003794
iː,Angular - Round,++1.0,++0.004747,++1.0
iː,Bad - Good,++1.0,++0.2905,++1.0
iː,Cold - Hot,++1.0,++0.005747,++1.0
iː,Complex - Simple,++1.0,0.0001912,++1.0
iː,Cowardly - Brave,++1.0,++0.4765,++1.0
iː,Dangerous - Secure,++1.0,1.487e-06,++1.0
iː,Dark - Luminous,++1.0,7.194e-20,++1.0
iː,Difficult - Easy,++1.0,++0.1349,++1.0
iː,Evil - Benign,++1.0,++0.009408,++1.0
iː,Faded - Bright,++1.0,9.952e-16,++1.0
iː,Feeble - Strong,++1.0,3.248e-05,++1.0
iː,Masculine - Feminine,++1.0,0.0001622,++1.0
iː,Passive - Active,++1.0,2.949e-08,++1.0
iː,Quiet - Loud,++1.0,++0.2495,++1.0
iː,Rough - Tender,++1.0,++0.06702,++1.0
iː,Sad - Joyful,++1.0,5.659e-11,++1.0
iː,Short - Long,++1.0,++0.01145,++1.0
iː,Slow - Quick,++1.0,2.993e-10,++1.0
iː,Small - Big,++1.0,5.368e-20,++1.0
iː,Smooth - Rough_or_not_smooth,++1.0,5.532e-07,++1.0
iː,Ugly - Beautiful,++1.0,1.943e-08,++1.0
o,Angular - Round,++1.0,++0.3411,++1.0
o,Bad - Good,++1.0,++0.1346,++1.0
o,Cold - Hot,++1.0,++0.2633,++1.0
o,Complex - Simple,++1.0,++0.005086,++1.0
o,Cowardly - Brave,++1.0,++0.2842,++1.0
o,Dangerous - Secure,++1.0,++0.02477,++1.0
o,Dark - Luminous,++1.0,++0.2685,++1.0
o,Difficult - Easy,++1.0,++0.01485,++1.0
o,Evil - Benign,++1.0,0.0005808,++1.0
o,Faded - Bright,++1.0,++0.04904,++1.0
o,Feeble - Strong,++1.0,0.0003703,++1.0
o,Masculine - Feminine,++1.0,++0.4604,++1.0
o,Passive - Active,++1.0,++0.06338,++1.0
o,Quiet - Loud,++1.0,++0.312,++1.0
o,Rough - Tender,++1.0,++0.3487,++1.0
o,Sad - Joyful,++1.0,++0.08177,++1.0
o,Short - Long,++1.0,++0.4337,++1.0
o,Slow - Quick,++1.0,++0.08173,++1.0
o,Small - Big,++1.0,++0.1398,++1.0
o,Smooth - Rough_or_not_smooth,++1.0,++0.1073,++1.0
o,Ugly - Beautiful,++1.0,++0.04704,++1.0
uː,Angular - Round,++1.0,0.0001759,++1.0
uː,Bad - Good,++1.0,0.0004691,++1.0
uː,Cold - Hot,++1.0,++0.03042,++1.0
uː,Complex - Simple,++1.0,++0.009044,++1.0
uː,Cowardly - Brave,++1.0,++0.03208,++1.0
uː,Dangerous - Secure,++1.0,++0.006129,++1.0
uː,Dark - Luminous,++1.0,1.738e-06,++1.0
uː,Difficult - Easy,++1.0,++0.001643,++1.0
uː,Evil - Benign,++1.0,++0.2893,++1.0
uː,Faded - Bright,++1.0,0.0009902,++1.0
uː,Feeble - Strong,++1.0,++0.09315,++1.0
uː,Masculine - Feminine,++1.0,++0.01177,++1.0
uː,Passive - Active,++1.0,0.0007524,++1.0
uː,Quiet - Loud,++1.0,++0.1738,++1.0
uː,Rough - Tender,++1.0,0.0002405,++1.0
uː,Sad - Joyful,++1.0,++0.1463,++1.0
uː,Short - Long,++1.0,++0.4445,++1.0
uː,Slow - Quick,++1.0,++0.104,++1.0
uː,Small - Big,++1.0,++0.0855,++1.0
uː,Smooth - Rough_or_not_smooth,++1.0,0.0002207,++1.0
uː,Ugly - Beautiful,++1.0,++0.1261,++1.0
ej,Angular - Round,++1.0,++1.0,++1.0
ej,Bad - Good,++1.0,++1.0,++1.0
ej,Cold - Hot,++1.0,++1.0,++1.0
ej,Complex - Simple,++1.0,++1.0,++1.0
ej,Cowardly - Brave,++1.0,++1.0,++1.0
ej,Dangerous - Secure,++1.0,++1.0,++1.0
ej,Dark - Luminous,++1.0,++1.0,++1.0
ej,Difficult - Easy,++1.0,++1.0,++1.0
ej,Evil - Benign,++1.0,++1.0,++1.0
ej,Faded - Bright,++1.0,++1.0,++1.0
ej,Feeble - Strong,++1.0,++1.0,++1.0
ej,Masculine - Feminine,++1.0,++1.0,++1.0
ej,Passive - Active,++1.0,++1.0,++1.0
ej,Quiet - Loud,++1.0,++1.0,++1.0
ej,Rough - Tender,++1.0,++1.0,++1.0
ej,Sad - Joyful,++1.0,++1.0,++1.0
ej,Short - Long,++1.0,++1.0,++1.0
ej,Slow - Quick,++1.0,++1.0,++1.0
ej,Small - Big,++1.0,++1.0,++1.0
ej,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
ej,Ugly - Beautiful,++1.0,++1.0,++1.0
e,Angular - Round,1.751e-07,++0.008413,3.311e-10
e,Bad - Good,++0.07886,++0.001486,++0.005003
e,Cold - Hot,++0.4398,++0.4299,++0.4071
e,Complex - Simple,++0.003829,++0.269,++0.00781
e,Cowardly - Brave,++0.1144,3.232e-05,++0.3503
e,Dangerous - Secure,++0.1117,++0.03063,++0.02392
e,Dark - Luminous,9.644e-05,++0.002191,3.896e-07
e,Difficult - Easy,++0.01274,++0.01141,++0.1019
e,Evil - Benign,++0.3094,++0.04993,++0.1228
e,Faded - Bright,++0.4867,++0.15,++0.3521
e,Feeble - Strong,9.883e-09,++0.004537,8.219e-12
e,Masculine - Feminine,++0.02946,0.0005773,0.0003788
e,Passive - Active,0.0007305,1.471e-05,5.747e-07
e,Quiet - Loud,++0.09562,++0.07766,++0.2193
e,Rough - Tender,++0.04278,++0.001635,++0.001612
e,Sad - Joyful,++0.03138,++0.2436,++0.04994
e,Short - Long,0.000515,++0.4243,0.0002209
e,Slow - Quick,++0.3975,++0.01267,++0.2834
e,Small - Big,4.471e-06,5.427e-09,5.283e-12
e,Smooth - Rough_or_not_smooth,++0.06348,++0.2356,++0.03395
e,Ugly - Beautiful,++0.00111,3.549e-08,1.336e-07
i,Angular - Round,++1.0,++1.0,++1.0
i,Bad - Good,++1.0,++1.0,++1.0
i,Cold - Hot,++1.0,++1.0,++1.0
i,Complex - Simple,++1.0,++1.0,++1.0
i,Cowardly - Brave,++1.0,++1.0,++1.0
i,Dangerous - Secure,++1.0,++1.0,++1.0
i,Dark - Luminous,++1.0,++1.0,++1.0
i,Difficult - Easy,++1.0,++1.0,++1.0
i,Evil - Benign,++1.0,++1.0,++1.0
i,Faded - Bright,++1.0,++1.0,++1.0
i,Feeble - Strong,++1.0,++1.0,++1.0
i,Masculine - Feminine,++1.0,++1.0,++1.0
i,Passive - Active,++1.0,++1.0,++1.0
i,Quiet - Loud,++1.0,++1.0,++1.0
i,Rough - Tender,++1.0,++1.0,++1.0
i,Sad - Joyful,++1.0,++1.0,++1.0
i,Short - Long,++1.0,++1.0,++1.0
i,Slow - Quick,++1.0,++1.0,++1.0
i,Small - Big,++1.0,++1.0,++1.0
i,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
i,Ugly - Beautiful,++1.0,++1.0,++1.0
u,Angular - Round,++1.0,++1.0,++1.0
u,Bad - Good,++1.0,++1.0,++1.0
u,Cold - Hot,++1.0,++1.0,++1.0
u,Complex - Simple,++1.0,++1.0,++1.0
u,Cowardly - Brave,++1.0,++1.0,++1.0
u,Dangerous - Secure,++1.0,++1.0,++1.0
u,Dark - Luminous,++1.0,++1.0,++1.0
u,Difficult - Easy,++1.0,++1.0,++1.0
u,Evil - Benign,++1.0,++1.0,++1.0
