phone,axes,first_with,with_without,first_without
b,Angular - Round,++0.004889,++0.4582,0.0008599
b,Bad - Good,++0.182,8.575e-16,1.452e-15
b,Cold - Hot,++0.002579,4.738e-05,9.313e-13
b,Complex - Simple,0.0002075,++0.09539,1.791e-08
b,Cowardly - Brave,++0.002023,++0.001996,4.967e-10
b,Dangerous - Secure,2.685e-05,++0.3167,4.682e-07
b,Dark - Luminous,++0.4234,++0.2174,++0.3481
b,Difficult - Easy,1.916e-06,8.671e-06,3.196e-22
b,Evil - Benign,0.0003032,0.0002237,1.599e-14
b,Faded - Bright,2.396e-05,++0.2607,1.02e-08
b,Feeble - Strong,++0.2517,++0.211,++0.06169
b,Masculine - Feminine,++0.005232,0.0004691,1.237e-10
b,Passive - Active,++0.131,2.065e-05,1.798e-07
b,Quiet - Loud,1.853e-06,1.633e-14,1.981e-35
b,Rough - Tender,++0.03648,3.129e-06,1.432e-10
b,Sad - Joyful,++0.004759,++0.01599,2.409e-07
b,Short - Long,++0.01352,6.215e-08,5.11e-13
b,Slow - Quick,++0.04153,3.705e-12,1.139e-16
b,Small - Big,0.0006435,1.37e-06,5.902e-16
b,Smooth - Rough_or_not_smooth,0.0005539,0.0002415,9.625e-13
b,Ugly - Beautiful,++0.02386,++0.003773,++0.4378
d,Angular - Round,++0.1328,6.327e-34,++0.003788
d,Bad - Good,2.194e-06,6.029e-13,8.234e-13
d,Cold - Hot,++0.08992,2.893e-24,1.808e-06
d,Complex - Simple,++0.04321,1.838e-10,++0.4116
d,Cowardly - Brave,++0.009924,6.459e-15,1.179e-06
d,Dangerous - Secure,++0.3676,++0.2625,++0.44
d,Dark - Luminous,++0.2523,2.018e-56,6.985e-06
d,Difficult - Easy,++0.01264,0.0008414,0.0005582
d,Evil - Benign,++0.06739,3.39e-19,8.976e-06
d,Faded - Bright,++0.02034,8.675e-09,6.144e-05
d,Feeble - Strong,++0.0295,3.04e-17,5.361e-06
d,Masculine - Feminine,0.0006646,5.468e-17,4.139e-09
d,Passive - Active,5.586e-06,9.98e-14,1.537e-11
d,Quiet - Loud,0.0006838,8.758e-17,2.163e-09
d,Rough - Tender,++0.479,1.239e-30,0.0002457
d,Sad - Joyful,++0.01507,3.628e-20,++0.2803
d,Short - Long,++0.007309,6.089e-26,3.333e-09
d,Slow - Quick,++0.007913,1.694e-30,8.565e-10
d,Small - Big,++0.08232,3.864e-12,0.0001701
d,Smooth - Rough_or_not_smooth,++0.01717,1.244e-10,3.1e-05
d,Ugly - Beautiful,3.286e-07,4.741e-35,7.262e-18
f,Angular - Round,++0.03093,++0.006538,++0.372
f,Bad - Good,1.767e-06,7.666e-30,0.0002554
f,Cold - Hot,++0.002942,1.43e-08,++0.1401
f,Complex - Simple,1.09e-05,5.59e-07,++0.08986
f,Cowardly - Brave,++0.003382,5.923e-09,++0.1578
f,Dangerous - Secure,++0.3956,++0.344,++0.2762
f,Dark - Luminous,++0.02252,0.0009478,++0.4406
f,Difficult - Easy,++0.1369,7.002e-07,++0.008656
f,Evil - Benign,++0.005571,9.301e-10,++0.06755
f,Faded - Bright,++0.06891,0.0005981,++0.22
f,Feeble - Strong,++0.01777,0.0001239,++0.3919
f,Masculine - Feminine,3.264e-05,1.049e-14,++0.2454
f,Passive - Active,++0.07578,2.45e-12,8.294e-05
f,Quiet - Loud,0.000621,2.717e-12,++0.06684
f,Rough - Tender,++0.03327,1.002e-08,++0.02416
f,Sad - Joyful,++0.2519,++0.04297,++0.01079
f,Short - Long,++0.376,4.943e-08,3.393e-05
f,Slow - Quick,++0.07631,6.336e-12,0.0001542
f,Small - Big,++0.04764,7.395e-07,++0.03026
f,Smooth - Rough_or_not_smooth,++0.1708,++0.003226,++0.1611
f,Ugly - Beautiful,++0.01218,9.589e-10,++0.02521
g,Angular - Round,++0.1109,++0.1372,++0.2036
g,Bad - Good,++0.2932,2.37e-24,2.39e-05
g,Cold - Hot,0.0004251,++0.01934,1.27e-05
g,Complex - Simple,++0.001026,0.0001454,++0.03093
g,Cowardly - Brave,++0.2259,++0.002971,++0.0324
g,Dangerous - Secure,3.726e-07,++0.06279,5.858e-07
g,Dark - Luminous,++0.3663,++0.4661,++0.3519
g,Difficult - Easy,6.965e-06,0.0003934,1.635e-09
g,Evil - Benign,0.0001163,0.0001076,3.415e-08
g,Faded - Bright,++0.1348,++0.06176,++0.0355
g,Feeble - Strong,++0.1138,++0.01729,++0.3127
g,Masculine - Feminine,++0.005788,++0.06067,0.0006749
g,Passive - Active,++0.05671,++0.00107,++0.002204
g,Quiet - Loud,0.0002001,1.779e-07,7.939e-09
g,Rough - Tender,0.0006717,1.992e-13,3.062e-10
g,Sad - Joyful,++0.001449,++0.05645,8.69e-05
g,Short - Long,++0.002232,1.124e-10,2.404e-08
g,Slow - Quick,++0.005782,8.024e-09,1.246e-06
g,Small - Big,++0.005489,1.916e-10,1.851e-07
g,Smooth - Rough_or_not_smooth,++0.001036,++0.3513,0.0002843
g,Ugly - Beautiful,0.0001289,3.985e-08,++0.04204
h,Angular - Round,++0.07295,++0.0136,++0.4051
h,Bad - Good,++0.009802,8.318e-09,++0.1474
h,Cold - Hot,1.221e-25,7.351e-05,1.115e-47
h,Complex - Simple,3.704e-19,++0.003076,7.927e-18
h,Cowardly - Brave,2.392e-05,++0.09171,8.787e-05
h,Dangerous - Secure,1.718e-05,8.63e-09,6.701e-18
h,Dark - Luminous,0.0001977,++0.4722,2.353e-05
h,Difficult - Easy,5.727e-23,0.0006929,2.616e-20
h,Evil - Benign,1.811e-39,++0.04315,9.324e-45
h,Faded - Bright,1.6e-11,++0.2753,1.574e-15
h,Feeble - Strong,0.0005079,++0.1358,4.826e-06
h,Masculine - Feminine,++0.07589,++0.02684,++0.001839
h,Passive - Active,1.629e-10,1.651e-06,2.886e-05
h,Quiet - Loud,3.35e-22,++0.0107,1.185e-21
h,Rough - Tender,7.41e-17,0.0002921,2.236e-13
h,Sad - Joyful,1.451e-08,++0.01313,3.605e-07
h,Short - Long,++0.3338,++0.1358,++0.4244
h,Slow - Quick,++0.001687,0.0006217,3.882e-08
h,Small - Big,2.08e-16,++0.112,6.698e-18
h,Smooth - Rough_or_not_smooth,7.339e-08,5.476e-07,++0.003463
h,Ugly - Beautiful,++0.005067,++0.2902,0.000412
j,Angular - Round,++0.1226,7.581e-21,3.258e-09
j,Bad - Good,++0.05724,++0.3464,++0.07311
j,Cold - Hot,9.03e-19,7.538e-81,++0.4018
j,Complex - Simple,++0.005147,2.868e-39,3.208e-05
j,Cowardly - Brave,9.649e-10,2.794e-23,++0.1381
j,Dangerous - Secure,++0.09922,++0.005173,++0.005042
j,Dark - Luminous,1.098e-05,++0.4616,3.73e-06
j,Difficult - Easy,++0.003649,4.794e-35,0.0002921
j,Evil - Benign,4.992e-08,1.245e-45,++0.04673
j,Faded - Bright,++0.001449,3.602e-45,1.857e-05
j,Feeble - Strong,0.0001413,4.241e-14,++0.471
j,Masculine - Feminine,5.806e-07,++0.003755,5.788e-05
j,Passive - Active,1.751e-39,1.235e-174,++0.1826
j,Quiet - Loud,++0.2956,++0.003432,++0.02254
j,Rough - Tender,5.231e-07,1.596e-31,++0.1835
j,Sad - Joyful,1.714e-22,2.21e-115,++0.04516
j,Short - Long,1.56e-07,3.225e-29,++0.2991
j,Slow - Quick,0.0001771,++0.0031,++0.01325
j,Small - Big,4.927e-07,9.457e-44,++0.01795
j,Smooth - Rough_or_not_smooth,1.096e-10,1.194e-53,++0.08924
j,Ugly - Beautiful,++0.01227,1.223e-14,++0.06777
q,Angular - Round,++1.0,++1.0,++1.0
q,Bad - Good,++1.0,++1.0,++1.0
q,Cold - Hot,++1.0,++1.0,++1.0
q,Complex - Simple,++1.0,++1.0,++1.0
q,Cowardly - Brave,++1.0,++1.0,++1.0
q,Dangerous - Secure,++1.0,++1.0,++1.0
q,Dark - Luminous,++1.0,++1.0,++1.0
q,Difficult - Easy,++1.0,++1.0,++1.0
q,Evil - Benign,++1.0,++1.0,++1.0
q,Faded - Bright,++1.0,++1.0,++1.0
q,Feeble - Strong,++1.0,++1.0,++1.0
q,Masculine - Feminine,++1.0,++1.0,++1.0
q,Passive - Active,++1.0,++1.0,++1.0
q,Quiet - Loud,++1.0,++1.0,++1.0
q,Rough - Tender,++1.0,++1.0,++1.0
q,Sad - Joyful,++1.0,++1.0,++1.0
q,Short - Long,++1.0,++1.0,++1.0
q,Slow - Quick,++1.0,++1.0,++1.0
q,Small - Big,++1.0,++1.0,++1.0
q,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
q,Ugly - Beautiful,++1.0,++1.0,++1.0
r,Angular - Round,++0.04972,3.488e-39,2.72e-06
r,Bad - Good,++0.3059,1.767e-53,1.144e-12
r,Cold - Hot,6.164e-06,1.811e-09,++0.05116
r,Complex - Simple,++0.4874,7.691e-15,8.266e-05
r,Cowardly - Brave,++0.0136,++0.07868,++0.06269
r,Dangerous - Secure,0.0003674,0.0005759,3.374e-07
r,Dark - Luminous,++0.1417,8.84e-42,3.528e-08
r,Difficult - Easy,1.06e-05,1.337e-16,++0.3718
r,Evil - Benign,1.33e-08,4.805e-09,++0.00179
r,Faded - Bright,++0.2181,++0.4316,++0.1914
r,Feeble - Strong,++0.01875,1.058e-12,++0.09576
r,Masculine - Feminine,++0.396,++0.002218,++0.05038
r,Passive - Active,6.57e-06,8.635e-06,++0.01064
r,Quiet - Loud,++0.008821,1.277e-16,1.296e-10
r,Rough - Tender,1.568e-06,1.296e-09,++0.02793
r,Sad - Joyful,2.577e-09,1.61e-09,0.0007195
r,Short - Long,++0.03654,++0.04215,++0.1794
r,Slow - Quick,++0.02448,++0.4122,++0.0174
r,Small - Big,++0.04665,3.05e-05,++0.4063
r,Smooth - Rough_or_not_smooth,9.236e-07,++0.2766,2.672e-06
r,Ugly - Beautiful,++0.003053,0.0001498,++0.1421
v,Angular - Round,4.62e-06,1.996e-17,++0.1253
v,Bad - Good,++0.1591,0.0008722,0.0001692
v,Cold - Hot,++0.06592,1.964e-21,4.443e-08
v,Complex - Simple,3.06e-09,3.296e-05,3.885e-05
v,Cowardly - Brave,++0.05558,4.727e-12,0.0005837
v,Dangerous - Secure,++0.07397,1.026e-07,1.917e-08
v,Dark - Luminous,1.256e-05,1.639e-14,++0.2207
v,Difficult - Easy,++0.001488,++0.03857,3.536e-07
v,Evil - Benign,++0.02426,++0.2729,++0.002535
v,Faded - Bright,++0.01045,9.827e-31,9.498e-10
v,Feeble - Strong,2.425e-08,1.557e-31,++0.0099
v,Masculine - Feminine,++0.008789,8.334e-16,0.0004298
v,Passive - Active,1.452e-06,1.369e-28,++0.002392
v,Quiet - Loud,0.0002827,++0.001774,1.705e-10
v,Rough - Tender,++0.3166,3.916e-05,0.000191
v,Sad - Joyful,++0.3491,1.793e-07,8.43e-06
v,Short - Long,++0.1788,7.583e-18,3.842e-08
v,Slow - Quick,++0.3307,1.021e-07,0.0003858
v,Small - Big,0.000988,++0.4844,0.0001311
v,Smooth - Rough_or_not_smooth,++0.01384,1.746e-14,0.0006501
v,Ugly - Beautiful,9.69e-06,7.048e-13,++0.3637
w,Angular - Round,++1.0,++1.0,++1.0
w,Bad - Good,++1.0,++1.0,++1.0
w,Cold - Hot,++1.0,++1.0,++1.0
w,Complex - Simple,++1.0,++1.0,++1.0
w,Cowardly - Brave,++1.0,++1.0,++1.0
w,Dangerous - Secure,++1.0,++1.0,++1.0
w,Dark - Luminous,++1.0,++1.0,++1.0
w,Difficult - Easy,++1.0,++1.0,++1.0
w,Evil - Benign,++1.0,++1.0,++1.0
w,Faded - Bright,++1.0,++1.0,++1.0
w,Feeble - Strong,++1.0,++1.0,++1.0
w,Masculine - Feminine,++1.0,++1.0,++1.0
w,Passive - Active,++1.0,++1.0,++1.0
w,Quiet - Loud,++1.0,++1.0,++1.0
w,Rough - Tender,++1.0,++1.0,++1.0
w,Sad - Joyful,++1.0,++1.0,++1.0
w,Short - Long,++1.0,++1.0,++1.0
w,Slow - Quick,++1.0,++1.0,++1.0
w,Small - Big,++1.0,++1.0,++1.0
w,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
